name,starsRating,reviewNumber,price
Premier Inn Durham City Centre (Walkergate) hotel,4.3,1052,54
"Radisson Blu Hotel, Durham",4.3,2393,85
Travelodge Durham,4.0,931,45
"Hotel Indigo Durham, an IHG Hotel",4.6,1142,96
Delta Hotels Durham Royal County,4.2,1449,80
The Funky Monk - One-Bedroom Apartment,N/A,N/A,N/A
OYO The Townhouse,4.6,353,144
Bannatyne Hotel Durham,4.0,442,50
Ramside Hall Hotel,4.3,3072,126
The City Rooms Durham,4.1,174,100
The Kingslodge Inn,4.3,652,116
The Queens Head,4.2,405,39
Redworth Hall Hotel,4.2,2341,75
Farnley Tower Hotel,4.3,251,120
Bridge Hotel,4.4,481,100
The Victoria,4.7,597,98
Premier Inn Durham North hotel,4.3,855,51
40Winks Guest House & Residence,4.9,90,N/A
Durham Castle Bed & Breakfast,5.0,2,N/A
Durham City Cottages,4.1,1458,N/A
